"","GEOID","transportType","X29.Mar","E","pop","SIR","RR","LL","UL"
"488","42127","mainRoad",7,18.304210241034,57242.6012428366,0.382425677361788,0.530561638482838,0.294836206646765,0.844411804490451
"491","42133","nextAirport",43,153.751906626319,480827.031892693,0.279671328593719,0.290903444224524,0.21510760650387,0.377565932026401
"497","51017","lowRisk",0,1.38893300395304,4343.59838809454,0,0.382032006797284,0.118296906634686,0.928135905440173
"504","51091","lowRisk",0,0.671165142433026,2098.9290502279,0,0.42106102016156,0.119346696199173,1.07277795573503
"506","51107","airport",61,175.560884462414,549030.063072199,0.347457807510986,0.351277429824841,0.270269766433713,0.442028592088856
"507","51165","mainRoad",4,27.7443085308107,86764.5404567705,0.1441737138829,0.196227435037003,0.0902704349831602,0.351132503938811
"517","54013","lowRisk",0,2.37268919208351,7420.09076093044,0,0.383679093348662,0.127860157065906,0.903374497206094
"519","54017","lowRisk",0,2.82839101007119,8845.20318638906,0,0.396775064988384,0.13573353931999,0.927540693809809
"520","54019","nextAirport",0,13.7975579780307,43148.9858923688,0,0.274342740791797,0.0783578074870313,0.696723171718053
"522","54023","lowRisk",0,3.88677508180904,12155.0787058716,0,0.370522018968968,0.13157026524167,0.856626985033392
"524","54027","lowRisk",0,8.81461560264881,27565.8725182348,0,0.377355912408312,0.114130215627347,0.949123138490581
"527","54033","mainRoad",7,21.7185489514467,67920.2336964887,0.322305141823654,0.322944961451557,0.165539536377404,0.542286953357743
"529","54037","nextAirport",5,21.0237405449873,65747.3652674556,0.237826374868965,0.25545840857307,0.119224857816935,0.45436383088291
"532","54043","nextAirport",0,6.6338077592656,20745.8506695903,0,0.237431068404086,0.0834224017133247,0.555740022063794
"543","54065","lowRisk",1,6.30784183880387,19726.4602147147,0.158532827162583,0.306722539138142,0.117987310188359,0.626285255212081
"546","54071","lowRisk",0,2.27693853181452,7120.65053420985,0,0.377680515454983,0.129112368314709,0.873736495026855
"551","54081","nextAirport",4,24.4675441757824,76517.1431163961,0.163481875061214,0.204542405829484,0.0956802823372861,0.3645783702016
"557","54093","lowRisk",2,2.20844389860073,6906.44784943398,0.905615035667061,0.56319584823088,0.192000417607789,1.24233409629452
"558","54095","lowRisk",0,2.80103955989159,8759.66722851776,0,0.388277520728615,0.133139666159657,0.904715664867391
"111","21005","lowRisk",3,7.52161929756126,23522.2961537838,0.398850284934348,0.43696188974475,0.194058152972269,0.812685740682442
"121","21025","lowRisk",3,3.72693168216258,11655.2017995875,0.804951701786825,0.58813987789727,0.230106231036328,1.18640592523932
"123","21029","nextAirport",3,27.6468311319024,86459.7002149671,0.108511531961369,0.196465000935732,0.0922996157373965,0.348120912054493
"125","21033","mainRoad",0,4.0619288243228,12702.8355173853,0,0.369237469743501,0.124235448223552,0.887820529791133
"130","21043","mainRoad",0,8.90125429994792,27836.8169805408,0,0.323848794701366,0.0977239774861241,0.83703644076965
"133","21049","nextAirport",3,11.7717331695406,36813.6411725907,0.254847774477467,0.325487624489557,0.145905240176399,0.599015690570325
"140","21063","lowRisk",0,2.82981671377244,8849.66177746654,0,0.477853310682916,0.144264513720599,1.22414857657753
"144","21071","lowRisk",3,11.3662452005472,35545.5620906634,0.26393940541205,0.370131875708521,0.162066021705372,0.686823117098191
"151","21085","mainRoad",3,8.55510654104192,26754.3120336877,0.350667754470143,0.369331988940528,0.158909431612674,0.699129227067999
"157","21097","lowRisk",15,6.16209059838488,19270.6535983086,2.4342387961533,1.62221737207258,0.90401664081015,2.57542262029066
"163","21109","lowRisk",0,4.20303945723928,13144.1296013581,0,0.39468101772189,0.136464831331899,0.936694329360203
"168","21119","lowRisk",0,4.77679434816718,14938.4283992863,0,0.42912963979456,0.13769388399466,1.08414264885796
"171","21125","mainRoad",3,20.3424649690908,63616.8179445176,0.147474753160855,0.218412059110533,0.0997191758831214,0.395937816508677
"176","21135","lowRisk",0,4.35173628053141,13609.1479140688,0,0.436309890988116,0.147324311415365,1.06014676338554
"178","21139","mainRoad",0,2.88924131605035,9035.49983152161,0,0.340786420214899,0.113680143315912,0.80452722926161
"185","21153","lowRisk",0,4.1324542176012,12923.3889808655,0,0.461161066581227,0.150612818217887,1.14766323456725
"188","21159","nextAirport",3,3.98025672957243,12447.4230690524,0.753720225559989,0.441921919161417,0.170055634897257,0.905685914604325
"192","21167","lowRisk",3,6.8017557075777,21271.0728620905,0.4410625916273,0.444360117941674,0.190017785561693,0.845152571932651
"199","21181","lowRisk",3,2.35544931892772,7366.17665201565,1.27364234751003,0.813333751979957,0.320202865291983,1.6423080247531
"200","21183","mainRoad",0,7.70189404851056,24086.0678514891,0,0.375008055171631,0.123272322642466,0.911328848513302
"205","21193","lowRisk",0,8.64721027954936,27042.3472729539,0,0.444446651949217,0.130256981004161,1.11634308457395
"207","21197","lowRisk",3,3.73944643133412,11694.3390683932,0.802257782024088,0.631289627213272,0.255402427001712,1.24774040562438
"211","21205","mainRoad",0,7.60288092163247,23776.4249406476,0,0.349177720801001,0.111631936136997,0.876646387674226
"565","54109","lowRisk",0,6.81946897047946,21326.4673987377,0,0.305344422899012,0.0995788097238934,0.76243888584907
"568","55037","lowRisk",0,1.18529007965502,3706.74760032421,0,0.414132072537415,0.125611215964729,1.01800872454565
"570","55051","lowRisk",1,1.64974023874453,5159.21863861745,0.606156033849919,0.669001913143155,0.186201629034784,1.65024830549903
"573","55075","lowRisk",1,12.4193445018456,38838.91059243,0.080519547537424,0.25269593785208,0.101490541891717,0.494611528071781
"426","42003","airport",265,363.189440564599,1135799.25318175,0.729646763925852,0.727447453846073,0.642728368753062,0.816865838420953
"438","42027","mainRoad",22,54.2799998727142,169749.382642552,0.405305822615875,0.361162668760745,0.231301581938089,0.52051529990314
"441","42033","mainRoad",2,25.1309011080544,78591.6536172967,0.0795832983226775,0.152544274861092,0.0702482724102476,0.276783720376387
"445","42041","nextAirport",22,79.3051070183732,248010.187699678,0.277409625018261,0.282875192242126,0.185697102323651,0.400569470011122
