GEOID,transportType,cases29.Mar,E,pop,SIR,RR,LL,UL
42013,mainRoad,3,39.02324993,122037.0781,0.076877246,0.140181349,0.071566778,0.237950519
21093,nextAirport,3,37.43336668,117065.0497,0.080142404,0.20437199,0.116521129,0.322930751
39139,mainRoad,5,37.16858152,116236.9894,0.134522217,0.180393126,0.09534735,0.298515646
39169,nextAirport,4,36.67385053,114689.8213,0.10906954,0.21047003,0.115188352,0.340257228
18035,mainRoad,14,36.44223338,113965.487,0.384169649,0.359964724,0.218597026,0.540485768
26005,nextAirport,2,36.23130439,113305.8505,0.055200883,0.144784527,0.07408349,0.245868668
26045,nextAirport,8,35.60362614,111342.9177,0.224696214,0.268328922,0.154993919,0.418280128
34041,mainRoad,56,35.46890729,110921.6126,1.578847624,1.552390823,1.186298738,1.965457514
54061,mainRoad,30,35.16157331,109960.4896,0.853204142,0.709346563,0.482397753,0.981057816
42081,mainRoad,3,35.01636584,109506.3835,0.085674225,0.186075628,0.103403569,0.299617477
42001,lowRisk,8,34.96095782,109333.1065,0.228826683,0.31503984,0.181412286,0.489992347
18091,nextAirport,6,34.8732455,109058.8045,0.172051666,0.236890171,0.131168733,0.379706567
42085,mainRoad,7,34.692129,108492.4004,0.201774875,0.275851293,0.159469212,0.429789647
18167,mainRoad,7,33.9897434,106295.8359,0.205944479,0.252110745,0.139090628,0.404543845
39109,nextAirport,43,33.11899945,103572.7657,1.298348402,1.038673149,0.74232872,1.38415
51069,mainRoad,8,32.71583417,102311.9504,0.24452991,0.244496131,0.134708925,0.393271955
26017,nextAirport,5,32.46769797,101535.9561,0.153999215,0.22046029,0.118247843,0.361187443
39003,mainRoad,4,32.41811836,101380.9063,0.123387791,0.171727333,0.087471811,0.291623528
39029,lowRisk,11,31.86145056,99640.04377,0.345244796,0.414181579,0.254953327,0.6170865
21059,lowRisk,16,31.73328435,99239.23066,0.504202459,0.49679735,0.31035985,0.730496669
26091,nextAirport,15,30.93748137,96750.52276,0.484848777,0.518173668,0.328066544,0.755666938
39007,mainRoad,6,30.73259833,96109.79376,0.195232435,0.255784681,0.140530666,0.412374135
36101,nextAirport,21,30.62180993,95763.32614,0.685785721,0.589068544,0.373517407,0.855699441
54011,nextAirport,1,30.17026393,94351.21018,0.033145219,0.146759245,0.073428254,0.253626838
21151,nextAirport,3,30.04450975,93957.94019,0.099851854,0.208318111,0.111759699,0.342829216
26055,airport,6,29.9799748,93756.12058,0.200133591,0.305738506,0.172217972,0.483851999
39055,nextAirport,17,29.75316657,93046.82513,0.571367756,0.55251872,0.3512451,0.803345255
42097,nextAirport,1,29.59920383,92565.33878,0.033784693,0.177257985,0.096188069,0.291164702
21037,mainRoad,3,29.28357133,91578.26392,0.102446521,0.195352844,0.098233277,0.333868045
39157,mainRoad,5,28.79691314,90056.34191,0.173629721,0.229176936,0.122578165,0.377035194
55089,mainRoad,34,28.26896377,88405.29034,1.202732448,1.082983426,0.748831274,1.476347697
26037,airport,14,28.20677707,88210.81439,0.496334621,0.5012021,0.308671009,0.745144985
51165,mainRoad,4,27.74430853,86764.54046,0.144173714,0.202734998,0.098550299,0.352571952
21029,nextAirport,3,27.64683113,86459.70021,0.108511532,0.20590973,0.103576816,0.351856845
42073,mainRoad,8,27.62165418,86380.96454,0.289627839,0.352357691,0.201820878,0.551571275
26087,nextAirport,4,27.3933797,85667.08369,0.146020683,0.338138477,0.194174748,0.529352803
42063,nextAirport,2,27.25949549,85248.38876,0.073368929,0.158007567,0.077558668,0.276231866
18059,nextAirport,22,27.25705091,85240.74383,0.807130605,0.782748487,0.520223103,1.101575378
42039,mainRoad,3,27.2180363,85118.73378,0.11022103,0.194775847,0.101789881,0.326830915
39119,mainRoad,2,27.21754745,85117.205,0.073482007,0.17400637,0.087678368,0.298979018
36015,airport,15,27.04265685,84570.2711,0.554679227,0.566304098,0.347026128,0.842577874
54107,mainRoad,2,26.95975669,84311.01814,0.074184646,0.180489393,0.09279138,0.30639287
26111,nextAirport,8,26.25742905,82114.63488,0.304675678,0.28911613,0.159803585,0.465025334
18005,mainRoad,10,26.03495129,81418.88207,0.384099048,0.522796905,0.320916063,0.779438985
51015,mainRoad,0,26.00869325,81336.76553,0,0.277562964,0.08971656,0.646862707
39141,lowRisk,0,25.68999727,80340.1103,0,0.309482657,0.128385128,0.628142318
36105,nextAirport,88,25.22597246,78888.96944,3.488468092,3.314582312,2.658428279,4.037542611
42033,mainRoad,2,25.13090111,78591.65362,0.079583298,0.159840605,0.082044555,0.273125904
18067,lowRisk,12,25.07998892,78432.43636,0.478469111,0.457699185,0.271050337,0.69970227
18085,lowRisk,3,24.95915815,78054.56331,0.120196362,0.207568535,0.107026849,0.351113977
17183,mainRoad,0,24.80235697,77564.20034,0,0.33313354,0.121583351,0.731203713
55071,mainRoad,0,24.55295258,76784.24008,0,0.397826382,0.089531778,1.134515133
39145,lowRisk,0,24.47607124,76543.80975,0,0.350250089,0.136218948,0.741169336
21185,nextAirport,3,24.47482863,76539.92374,0.122574913,0.247165637,0.128291394,0.414529824
54081,nextAirport,4,24.46754418,76517.14312,0.163481875,0.205157103,0.103106087,0.352417086
26073,lowRisk,4,24.31728053,76047.22489,0.164492078,0.24340338,0.130366006,0.401474601
18043,nextAirport,14,24.30895858,76021.19972,0.575919365,0.550202353,0.330184762,0.831435141
39063,mainRoad,3,24.14462847,75507.29156,0.124251239,0.185089471,0.094915565,0.315372154
36009,mainRoad,4,23.78364134,74378.3796,0.168182825,0.198111012,0.095288177,0.348786771
24001,mainRoad,0,23.50684896,73512.76913,0,0.223506519,0.093996983,0.445928657
26159,nextAirport,4,23.36687393,73075.0264,0.171182504,0.216415077,0.109410724,0.370332162
21047,mainRoad,3,23.33856246,72986.48818,0.128542621,0.245043525,0.125061335,0.41566336
42111,nextAirport,2,23.08000777,72177.91229,0.086655083,0.182890334,0.091805455,0.31596801
42025,nextAirport,9,22.46715417,70261.34043,0.40058478,0.538578799,0.321615248,0.818451656
42037,nextAirport,6,22.32914321,69829.73994,0.268707131,0.32270917,0.176649613,0.522768081
18109,nextAirport,20,22.32208552,69807.66848,0.89597363,0.85188489,0.5577215,1.212914641
39043,mainRoad,5,22.2310942,69523.11211,0.224910207,0.268248461,0.131523583,0.463576616
42103,nextAirport,33,22.15236812,69276.9127,1.48968272,1.553501327,1.111364641,2.06903515
26155,nextAirport,5,21.94346146,68623.60066,0.227858308,0.332721621,0.18380093,0.536116535
39013,mainRoad,8,21.92994704,68581.33713,0.364797963,0.337915898,0.186669702,0.544175803
21199,lowRisk,3,21.89670089,68477.36673,0.137006941,0.265407851,0.138806367,0.443984434
54033,mainRoad,7,21.71854895,67920.2337,0.322305142,0.318859487,0.172947617,0.519842547
39159,nextAirport,3,21.44898946,67077.24259,0.139866729,0.22118876,0.115697281,0.372142133
26103,lowRisk,2,21.44746107,67072.46288,0.093251131,0.250108693,0.128730814,0.423146932
18011,nextAirport,13,21.29423908,66593.29303,0.610493756,0.621937279,0.377046251,0.93469095
39083,lowRisk,3,21.19266424,66275.6389,0.141558417,0.258733308,0.137480436,0.429673373
18173,nextAirport,8,21.05275565,65838.10397,0.37999776,0.360882538,0.200805496,0.578444502
54037,nextAirport,5,21.02374054,65747.36527,0.237826375,0.250217038,0.12381543,0.432507359
39009,lowRisk,3,20.82304281,65119.72494,0.144071163,0.241990999,0.124861049,0.409699674
18053,mainRoad,7,20.80305192,65057.20761,0.336489089,0.307498295,0.170915242,0.495381068
21209,nextAirport,3,20.78023989,64985.86774,0.14436792,0.280821799,0.150913042,0.462547919
18177,mainRoad,1,20.77685054,64975.26824,0.04813049,0.20859706,0.104214306,0.361056121
39101,lowRisk,6,20.66605261,64628.77084,0.290331207,0.30722073,0.163634253,0.507264087
26067,nextAirport,2,20.53332023,64213.67798,0.09740266,0.199429404,0.100595841,0.343960563
26117,nextAirport,3,20.50036964,64110.63189,0.146338825,0.207833859,0.107309036,0.353345401
21145,mainRoad,3,20.403732,63808.41782,0.147031925,0.240316798,0.115966614,0.422266198
21125,mainRoad,3,20.34246497,63616.81794,0.147474753,0.223395073,0.110748191,0.387809692
39081,lowRisk,5,20.29636881,63472.6618,0.246349485,0.353522452,0.194610455,0.571012504
42005,nextAirport,3,19.92038023,62296.83593,0.150599535,0.241089582,0.123652153,0.410059172
42015,nextAirport,3,19.45515812,60841.95077,0.154200751,0.270903728,0.142597947,0.452738533
21195,lowRisk,0,19.21558593,60092.73869,0,0.395907159,0.158764551,0.820663183
21113,nextAirport,3,19.17495346,59965.66912,0.156454095,0.246943828,0.122731115,0.427437519
54055,mainRoad,2,19.15351631,59898.62889,0.104419469,0.174534243,0.082226989,0.314604959
39087,nextAirport,1,18.86561105,58998.26524,0.053006499,0.184054943,0.089841258,0.324808978
26149,nextAirport,0,18.73873373,58601.48287,0,0.248041812,0.103752449,0.496686724
26015,nextAirport,1,18.72198093,58549.09198,0.053413151,0.182167017,0.089754049,0.320135466
39077,lowRisk,3,18.69618147,58468.40952,0.160460573,0.270077985,0.141731424,0.452686859
39143,mainRoad,3,18.61827475,58224.77251,0.161132008,0.210469519,0.101533535,0.372426322
39167,mainRoad,3,18.52281554,57926.24373,0.161962418,0.220105488,0.110081143,0.381478612
54079,nextAirport,3,18.45855093,57725.26956,0.162526301,0.221248188,0.107278198,0.389998643
39129,nextAirport,4,18.4366338,57656.72832,0.216959345,0.252788061,0.128701549,0.432086595
42127,mainRoad,7,18.30421024,57242.60124,0.382425677,0.580955335,0.345002655,0.888817884
39147,lowRisk,1,17.67079489,55261.7268,0.05659055,0.211511633,0.104285146,0.370442756
54049,mainRoad,5,17.5301237,54821.80698,0.285223315,0.334919459,0.168183768,0.572268914
26027,nextAirport,2,17.52205419,54796.57127,0.114141868,0.215035135,0.106937314,0.374789063
18029,nextAirport,10,17.29678104,54092.07646,0.578142255,0.574521035,0.333360554,0.89228767
39005,mainRoad,2,16.72184171,52294.07358,0.11960405,0.234428974,0.11953506,0.402395812
26157,nextAirport,4,16.47432141,51520.00544,0.24280211,0.315999949,0.164084127,0.532362323
39037,nextAirport,3,16.45458877,51458.29571,0.182319962,0.258923087,0.134685509,0.438376396
21211,nextAirport,3,16.4260869,51369.16206,0.182636316,0.268074729,0.135001183,0.461756214
42121,mainRoad,1,16.35442078,51145.04123,0.061145547,0.19930217,0.096534792,0.354054226
21073,mainRoad,3,15.73537922,49209.11781,0.190653174,0.267145875,0.132849627,0.464022474
39149,mainRoad,3,15.65645388,48962.29527,0.191614271,0.243742198,0.120715109,0.425496779
36107,nextAirport,4,15.61070984,48819.2403,0.256234344,0.33869459,0.167810994,0.584953767
51171,mainRoad,4,15.57344763,48702.71052,0.25684743,0.262165873,0.116442033,0.483099246
21179,lowRisk,3,15.55598911,48648.11264,0.192851768,0.319859558,0.166575139,0.538672437
18065,mainRoad,2,15.51748765,48527.70734,0.128886843,0.308827962,0.161579556,0.519319141
42009,mainRoad,0,15.42504895,48238.62457,0,0.190549987,0.075173324,0.405341563
26123,nextAirport,1,15.35219919,48010.80217,0.065137248,0.184366469,0.09069749,0.325815284
21019,nextAirport,4,15.33098894,47944.47151,0.260909457,0.290016457,0.139258406,0.51214566
18099,nextAirport,3,15.0806759,47161.66967,0.198930076,0.231207599,0.113087277,0.407672285
42119,mainRoad,0,15.00984175,46940.15065,0,0.225014786,0.088845016,0.473495782
36025,mainRoad,8,15.00159478,46914.35996,0.533276636,0.660252114,0.364824401,1.053370057
36003,mainRoad,6,14.97403979,46828.18747,0.400693472,0.343349841,0.168238142,0.596850187
18113,nextAirport,2,14.94511245,46737.72326,0.133823014,0.191846099,0.093925382,0.339815754
21101,nextAirport,3,14.88793449,46558.9111,0.201505454,0.306631467,0.158099347,0.52068362
26059,lowRisk,10,14.75249427,46135.35004,0.677851475,0.576011907,0.327398718,0.909247379
42099,nextAirport,1,14.67650854,45897.72051,0.068136096,0.202481154,0.094962792,0.36727356
39015,lowRisk,0,14.65280359,45823.58822,0,0.393457323,0.155487644,0.815254568
21107,mainRoad,11,14.6222852,45728.14832,0.752276395,0.580097597,0.318343503,0.93368444
42087,lowRisk,2,14.57836789,45590.8061,0.137189568,0.250402797,0.118784468,0.448312261
39097,nextAirport,4,14.52562752,45425.8716,0.275375366,0.26074307,0.132801492,0.448269313
21009,mainRoad,3,14.46889648,45248.45708,0.207341313,0.307041366,0.151569616,0.53483735
39071,lowRisk,1,14.43860902,45153.73937,0.069258749,0.235838869,0.112720263,0.421316034
18093,lowRisk,8,14.33823909,44839.85334,0.55794857,0.560877214,0.312265095,0.897132374
39011,mainRoad,2,14.29104463,44692.26252,0.139947782,0.201245866,0.095381091,0.363099161
39091,lowRisk,3,14.26357668,44606.36221,0.210325928,0.281336469,0.136013916,0.497019124
42061,mainRoad,1,14.23604898,44520.27508,0.070244209,0.175691944,0.084489749,0.31564788
39075,lowRisk,0,14.2110673,44442.15009,0,0.36310986,0.146644257,0.742343951
51185,lowRisk,1,14.12313176,44167.15,0.070805825,0.216432428,0.091450691,0.414324789
26107,lowRisk,1,14.07457434,44015.29682,0.071050106,0.222958098,0.106975994,0.398578562
26023,nextAirport,0,14.03864319,43902.92961,0,0.274803288,0.109268855,0.571323239
18145,nextAirport,12,13.9062011,43488.7446,0.862924383,0.923832184,0.562650669,1.385899688
18061,nextAirport,14,13.88339613,43417.42682,1.0083988,0.732938211,0.425815406,1.136599139
54019,nextAirport,0,13.79755798,43148.98589,0,0.257758064,0.093302556,0.571999268
42065,mainRoad,0,13.78597285,43112.75583,0,0.211805609,0.082639813,0.454191414
42115,mainRoad,1,13.72761371,42930.24977,0.072845873,0.30980726,0.155802826,0.534536938
18037,mainRoad,2,13.62216949,42600.49498,0.146819492,0.266508062,0.132912919,0.464419063
54099,airport,0,13.59793984,42524.72178,0,0.449879855,0.180766449,0.923836782
18033,nextAirport,1,13.56861448,42433.01285,0.073699492,0.202072345,0.095257448,0.366213789
39027,mainRoad,3,13.44850394,42057.39217,0.22307314,0.224692739,0.107718523,0.40230016
39051,nextAirport,2,13.40933442,41934.89764,0.149149834,0.295245379,0.143436582,0.520565165
18071,mainRoad,7,13.38911158,41871.65494,0.522812881,0.524604216,0.290762856,0.844564838
39135,nextAirport,0,13.22738401,41365.88569,0,0.308614917,0.115642901,0.663226635
26057,nextAirport,3,13.1858221,41235.90947,0.2275171,0.263329763,0.132960779,0.455944687
42117,nextAirport,1,13.13975346,41091.83942,0.076104929,0.249930889,0.118319963,0.449442854
42109,lowRisk,2,12.88265558,40287.81938,0.155247494,0.25362555,0.113799188,0.469350473
54069,mainRoad,7,12.86399038,40229.44786,0.544154636,0.43747236,0.224211447,0.740325818
42083,lowRisk,1,12.79930091,40027.14503,0.078129267,0.249478674,0.118735608,0.44775295
39021,lowRisk,2,12.76251579,39912.10724,0.156708915,0.300940515,0.149522574,0.524479473
26151,lowRisk,2,12.76132417,39908.3807,0.156723548,0.347864947,0.165338806,0.617729877
39033,lowRisk,2,12.72428163,39792.53789,0.157179797,0.258146889,0.124451151,0.459659049
39107,lowRisk,2,12.62205331,39472.84012,0.158452825,0.270213911,0.13099807,0.479136465
51195,lowRisk,0,12.61223433,39442.13333,0,0.394346241,0.128875473,0.90757183
21035,lowRisk,3,12.53364444,39196.35982,0.239355761,0.353368896,0.158965659,0.645694169
42035,mainRoad,0,12.50591026,39109.62694,0,0.242131247,0.096163909,0.511828181
42123,lowRisk,1,12.45853925,38961.484,0.080266232,0.227636853,0.112024318,0.402237289
18133,mainRoad,5,12.45078584,38937.23681,0.401581078,0.457799206,0.241077625,0.763244927
39123,nextAirport,1,12.42578746,38859.0596,0.080477797,0.231914331,0.09786004,0.444811599
55075,lowRisk,1,12.4193445,38838.91059,0.080519548,0.264554785,0.115517544,0.496344007
18087,mainRoad,2,12.38382338,38727.8257,0.161501011,0.207925236,0.097019322,0.379571669
39059,mainRoad,0,12.25213865,38316.00914,0,0.267292306,0.104706036,0.567200456
39039,nextAirport,5,12.01059812,37560.64151,0.416299001,0.308765209,0.150428933,0.544582598
42031,mainRoad,1,11.99533962,37512.92373,0.08336571,0.214497108,0.096754173,0.399218095
18107,mainRoad,5,11.97340615,37444.33137,0.417592115,0.419097875,0.220348421,0.701876345
54077,mainRoad,1,11.93607469,37327.58503,0.083779637,0.251881668,0.121901747,0.448698697
26033,mainRoad,0,11.89506943,37199.34962,0,0.55576708,0.097571118,1.641577203
39117,mainRoad,0,11.8864457,37172.38068,0,0.234986187,0.088976382,0.516237819
39127,lowRisk,0,11.86339504,37100.29456,0,0.333624749,0.130546461,0.700206666
21049,nextAirport,3,11.77173317,36813.64117,0.254847774,0.332925732,0.164278476,0.58203689
18083,lowRisk,2,11.72155856,36656.73053,0.170625774,0.332146886,0.164319151,0.580894767
21089,lowRisk,0,11.71328438,36630.85477,0,0.392168835,0.138143147,0.867558263
39031,lowRisk,4,11.66999562,36495.4782,0.34275934,0.34771058,0.17306024,0.60437139
21083,lowRisk,0,11.60709848,36298.78052,0,0.407252219,0.132838089,0.937623591
18017,lowRisk,0,11.58148578,36218.68212,0,0.350516719,0.134901809,0.741175465
18183,nextAirport,1,11.57110565,36186.22045,0.086422165,0.186169481,0.08287382,0.350681726
18103,lowRisk,1,11.55969731,36150.54322,0.086507455,0.267561921,0.12463223,0.486316132
18073,mainRoad,6,11.46516018,35854.89808,0.523324568,0.383372819,0.19958224,0.648153148
26061,lowRisk,0,11.45973702,35837.93827,0,0.527100296,0.159581733,1.257468731
42059,mainRoad,6,11.43755865,35768.58003,0.524587474,0.444112162,0.225835687,0.757526892
18069,nextAirport,1,11.39598084,35638.55411,0.087750235,0.200522516,0.090113678,0.375160981
21071,lowRisk,3,11.3662452,35545.56209,0.263939405,0.377312222,0.177556331,0.67483883
39171,mainRoad,0,11.32859214,35427.80998,0,0.278098639,0.1089441,0.591155827
54025,mainRoad,2,11.28901819,35304.05071,0.177163325,0.234053787,0.109866916,0.425734186
21235,mainRoad,0,11.15108118,34872.68147,0,0.263301182,0.089962289,0.616453938
54045,lowRisk,1,11.1416482,34843.18181,0.089753327,0.242063869,0.102292329,0.465893426
18151,mainRoad,1,10.92245518,34157.70133,0.091554507,0.212476485,0.097789848,0.392018452
