"","GEOID","transportType","X29.Mar","E","pop","SIR","RR","LL","UL"
"532","54043","nextAirport",0,6.6338077592656,20745.8506695903,0,0.167495907428227,0.157007773343155,0.178418509544665
"543","54065","lowRisk",1,6.30784183880387,19726.4602147147,0.158532827162583,0.131863352715829,0.116337970868905,0.14849521043799
"546","54071","lowRisk",0,2.27693853181452,7120.65053420985,0,0.12799404932384,0.112903649773058,0.144164440454203
"551","54081","nextAirport",4,24.4675441757824,76517.1431163961,0.163481875061214,0.458304115950556,0.441925036633491,0.475006283456281
"557","54093","lowRisk",2,2.20844389860073,6906.44784943398,0.905615035667061,0.104948253244027,0.0924453992306442,0.118373751736603
"558","54095","lowRisk",0,2.80103955989159,8759.66722851776,0,0.108717032962541,0.0957912958629391,0.122591128562624
"111","21005","lowRisk",3,7.52161929756126,23522.2961537838,0.398850284934348,0.168449555766533,0.148796473907879,0.189462580255013
"121","21025","lowRisk",3,3.72693168216258,11655.2017995875,0.804951701786825,0.106259095355981,0.0936091646103412,0.119840613279044
"123","21029","nextAirport",3,27.6468311319024,86459.7002149671,0.108511531961369,0.227937950380125,0.215653062110736,0.240643194338808
"125","21033","mainRoad",0,4.0619288243228,12702.8355173853,0,0.198991201086599,0.186162269734609,0.212294222490996
"130","21043","mainRoad",0,8.90125429994792,27836.8169805408,0,0.13080096067112,0.121436804584934,0.140590085083845
"133","21049","nextAirport",3,11.7717331695406,36813.6411725907,0.254847774477467,0.523734585957666,0.506554071185565,0.541216277325465
"140","21063","lowRisk",0,2.82981671377244,8849.66177746654,0,0.126974593884534,0.111998780324086,0.143023422116948
"144","21071","lowRisk",3,11.3662452005472,35545.5620906634,0.26393940541205,0.110531963789031,0.0974026215526458,0.124622021766464
"151","21085","mainRoad",3,8.55510654104192,26754.3120336877,0.350667754470143,0.146494912391796,0.136313425576563,0.157114683824069
"157","21097","lowRisk",15,6.16209059838488,19270.6535983086,2.4342387961533,0.1393900190807,0.123017641824867,0.156920572269655
"163","21109","lowRisk",0,4.20303945723928,13144.1296013581,0,0.103139588872077,0.0908396889644907,0.11634978488382
